2026-02-15 10:32:45 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:32:45 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:32:46 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:32:46 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:32:46 | WARNING | [MEDIUM] ANOMALY:PORT_SCAN | Source: 203.0.113.42 | Dest: 10.0.1.50:22 | Port scan detected from 203.0.113.42: 25 unique ports accessed (22, 23, 80, 443, 3306, ...)
2026-02-15 10:32:46 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:32:46 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:32:46 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:32:46 | ERROR | [HIGH] SIGNATURE:SQL Injection Attempt | Source: 10.99.88.12 | Dest: 10.0.1.50:80 | Detects common SQL injection patterns. Pattern matched: union select
2026-02-15 10:32:47 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:32:47 | WARNING | [MEDIUM] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:33:09 | WARNING | [MEDIUM] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:33:09 | WARNING | [MEDIUM] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:33:15 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:33:15 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:33:39 | WARNING | [MEDIUM] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:33:39 | WARNING | [MEDIUM] LIVE:Malware C2 | Source: 45.33.22.11 | Dest: 10.0.1.50:80 | Simulated live stream: Malware C2 from 45.33.22.11
2026-02-15 10:33:41 | ERROR | [HIGH] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:33:41 | ERROR | [HIGH] LIVE:XSS | Source: 172.16.55.33 | Dest: 10.0.1.50:80 | Simulated live stream: XSS from 172.16.55.33
2026-02-15 10:33:47 | ERROR | [HIGH] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:33:47 | ERROR | [HIGH] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
2026-02-15 10:33:51 | ERROR | [HIGH] ANOMALY:BRUTE_FORCE | Source: 192.0.2.77 | Dest: 10.0.1.50:22 | Brute force SSH attempt: 8 failed authentications from 192.0.2.77
2026-02-15 10:33:51 | ERROR | [HIGH] ANOMALY:BRUTE_FORCE | Source: 192.0.2.77 | Dest: 10.0.1.50:22 | Brute force SSH attempt: 8 failed authentications from 192.0.2.77
2026-02-15 10:34:11 | ERROR | [HIGH] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:34:11 | ERROR | [HIGH] LIVE:Port Scan | Source: 203.0.113.42 | Dest: 10.0.1.50:80 | Simulated live stream: Port Scan from 203.0.113.42
2026-02-15 10:34:23 | ERROR | [HIGH] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:34:23 | ERROR | [HIGH] LIVE:Buffer Overflow | Source: 192.168.100.200 | Dest: 10.0.1.50:80 | Simulated live stream: Buffer Overflow from 192.168.100.200
2026-02-15 10:34:31 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:34:31 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:34:33 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:34:33 | CRITICAL | [CRITICAL] ANOMALY:CONNECTION_FLOOD | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | DDoS/Connection flood: 500+ connections from 198.51.100.15 in 60s
2026-02-15 10:34:35 | WARNING | [MEDIUM] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:34:35 | WARNING | [MEDIUM] LIVE:DNS Tunneling | Source: 10.0.0.99 | Dest: 10.0.1.50:80 | Simulated live stream: DNS Tunneling from 10.0.0.99
2026-02-15 10:34:43 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:34:43 | WARNING | [MEDIUM] LIVE:Brute Force | Source: 192.0.2.77 | Dest: 10.0.1.50:80 | Simulated live stream: Brute Force from 192.0.2.77
2026-02-15 10:34:51 | WARNING | [MEDIUM] LIVE:DDoS | Source: 198.51.100.15 | Dest: 10.0.1.50:80 | Simulated live stream: DDoS from 198.51.100.15
